uid,loc_lng,loc_lat
6747853fe4d3e35bc7f50d06,121.254309,30.792838
6716f682d88d1280c91b95df,121.287107,30.808662
e10cc3d6096b1ee7aaf0cdd0,121.278174,30.809905
fa01e937f42b2e49774ff1c1,121.370012,30.784075
9ee392b81b6edf40bbbd6324,121.356582,30.80928
8f5e9d5eab5dc1723a13fd84,121.352744,30.808425
bb557f10515944432cb908e0,121.41676,30.800273
5211d2191c83b3257dc8763d,121.18956,30.840432
251a4ad5ccb89478e315f9bc,121.238108,30.845889
61ced0f534998fb8cbc3dbed,121.321504,30.842745
40991ffa6771e7dccb213d19,121.365864,30.822033
db1f39d4e3376e6ef5c59c2f,121.36668,30.824195
44207646d9396568deee8bc6,121.350499,30.829205
cd9d05dd620311c885420e43,121.360695,30.823055
c06c8727a6d7732e373a71c6,121.416837,30.834708
16b7fd4081df77a0990050b9,121.433209,30.827858
50fb64ffc815385ee9f853e9,121.528346,30.845792
593850fb6a433b5cdf1e5224,121.335552,30.871867
ac284ea92ad9b779f5c59ce7,121.466787,30.869786
2e0ede0bbaf5d2e0cd04ef37,121.54158,30.85535
f3c2373c8fa2fc51d22dd6e9,121.560443,30.859056
d5f93c0e53dcfc5decdfca8a,121.70133,30.87889
f8601d556f7ed17429fc4898,121.15783,30.902447
befdb2924c1043e087154125,121.195405,30.89896
7390e472318ecc87b5147faf,121.207625,30.907918
c8e8f633f8d0b06dab0dd82a,121.232798,30.90849
f633606a276a564f0b69d92a,121.231913,30.910904
75e805d605d58e58705e802d,121.26212,30.896882
2fd2beabafb9cc517adbd251,121.262261,30.898569
f4a33da9c81bd20a3010affa,121.318951,30.887295
1c4d39756dd0ea7309a8d458,121.339567,30.899554
bb1d38e4856923330c0a707d,121.394025,30.906621
3ff1defd0cda27518c772766,121.431366,30.906242
5db1091fef36c8d81e580097,121.582443,30.897094
fdb4d4bce37790022fb17e98,121.74871,30.890663
0b7adf05791ac9152902e199,121.763766,30.906067
e82beae306d015125b1093d6,121.157189,30.929465
b0d056f28dc7e97dcac3db4d,121.197527,30.937045
e6ee2fd2315edb492b11d1ef,121.21668,30.934829
3da907f32042cd52b320a8e9,121.312857,30.9438
f633606adce77d300a69d9a4,121.40954,30.920456
42828626a2fc248dd8eceddb,121.442248,30.938798
7ea3240a47107d78465726bb,121.440052,30.941451
46e28e6d9f9f9ba697ec8470,121.44579,30.943924
becea0029edf5a580a5cb37b,121.440705,30.936498
2bbac6019b390f5dae31e5e5,121.47948,30.924141
0de7fb389662b08e59bbbc34,121.479217,30.937911
17422004f8dd3acdc26c14e8,121.496087,30.919054
5c56edd623430d5ba1d23002,121.519774,30.923391
7d5f3a0a56f34a482cb90850,121.630008,30.92161
d653cce610371d43c9fa5f43,121.630402,30.936232
b41d664e11d2c92e8a36eed5,121.607338,30.93636
2cf1d2bc184adea7bf484282,121.632784,30.930011
1bd967d5f7fc211543ab9a0e,121.679615,30.928159
25ec69fcefcb8a7ec36c148e,121.732953,30.937262
5817038c51466be117c8f627,121.742458,30.951682
a8d66e49b472ee551e1d114a,121.194721,30.980772
9e8c246e42991ec13be4a6a2,121.192234,30.961538
a3f21eee7ae0c7392fb17e35,121.193687,30.978826
98280d44b4b75d7ec9291589,121.409665,30.967934
49a02a7a1ee672432a201a94,121.398753,30.959168
8cba4bb059705885ad04573b,121.459363,30.965115
ddd917936fe20f9b0e3dda48,121.441209,30.960361
6c08ec0edb94ee564bcc4ac8,121.459188,30.967615
3a63a5e17c4d5c2602294f75,121.44003,30.959882
52ee86353b27f1f2b6147f52,121.464767,30.968808
f9abeec171f201324d776ea8,121.459165,30.97641
d3c9cb12b08c4095b9df8f8c,121.452362,30.956114
eba405f6b0f36de6882fb5a2,121.468749,30.974142
af09c79b20a6caf3d8eceddf,121.489957,30.957002
71d890d67da0a6db9d9d682a,121.487448,30.974216
c8b5cdefab779e02130daa38,121.484805,30.983121
4dfbf758f492da335a3ac8f5,121.586753,30.981025
5817038c51466be117c8f627,121.742458,30.951682
dc0f0adcc1d9e65ff92213a0,121.745731,30.952552
bfce4aecdf5f3fdf2fb908de,121.773592,30.960299
4bb049d949ce5046990050ee,121.151094,31.004393
d6c5d99134e8bee930169be6,121.150681,31.00769
56f2f696673d37810aa8d4e1,121.14323,31.010942
91ccc490eef6e715d4b74ea6,121.157037,31.008946
a55892025ed28cdcc27da27d,121.14561,31.018355
8ea96888c894dc38740269e9,121.214515,31.002583
6ed3083aea8236b42b3a9f6a,121.206714,31.002793
91c13f9366290afb21f017e1,121.176339,31.008006
1020060fdca6afa71894c6ef,121.225505,31.005299
bca8a77d859543deaeb22ad4,121.236146,31.003621
c3b9004053774df3c61e512c,121.229873,31.000938
04bdf4a3d75d074e354aaeec,121.225215,30.989839
06d2dffd5db484f788f15dee,121.225861,30.988251
b56b55e263e8066b8f55eca7,121.230455,30.99608
79086c9da69c9cd830621201,121.219325,31.003692
403c62146bde6a4446e274f0,121.279452,31.01033
9ee392b89475543cbbbd6334,121.265572,30.995912
7aea43b7128da6f97d29bd9c,121.285562,31.014811
005861085b02f9db47e27488,121.311768,30.987632
af8c2e2e654b323b3a13fd16,121.307834,31.003916
bf29b7026d785b9809b93a60,121.381929,31.004201
2848ffd6d28b4e0e48cc4a18,121.371805,30.998121
57cd5dfc3557ef85157643a4,121.393511,31.014588
b21165a33674160c83a00c97,121.388234,31.006273
e3a7fd13985c1f5328b97c36,121.514884,31.007151
9ee7cc78cd70787116c90536,121.518345,31.008245
50f7d14684a4e7ba72210b58,121.588176,31.014044
637df60ab77c537340afe613,121.565571,31.012013
3e6c975382202b7a2902e148,121.622284,30.990403
cd9d05dd525121b584420e90,121.603854,30.993404
2bebfcbe4804c257cb213d52,121.668397,30.988937
7290521ebf921c3240e19224,121.155273,31.034567
a55892025ed28cdcc27da27d,121.14561,31.018355
8a87ab7ab573016ff6c59ca9,121.15077,31.026229
8a7820836ff0bdaa17948e27,121.175276,31.036888
fa5f4c28e9f6818ad518b7ba,121.212765,31.031346
69fcd6dfa9e2242ccb2915bf,121.245974,31.023959
db1f39d4e37c6e6ef5c59ce6,121.250474,31.044694
4bfbf6a10e812a7df7b9161f,121.224776,31.039788
9f97b1c5afc09705b74f54b5,121.28598,31.026206
edd64ce162e35d903ee2319f,121.262583,31.028651
108b1ceaa6ac39ad3486f49f,121.275735,31.03209
49a02a7a70e868412a201a9c,121.265971,31.024689
573f21af6367071bbca8223c,121.275984,31.044295
4ad986209994bb9f8605bfd1,121.290316,31.022547
56e88cbabd26551ba4c75604,121.283112,31.021244
1bf85b25bd1922daa1a9347c,121.277647,31.046752
6b3b9f6f11a32086c5f50d7e,121.295111,31.027269
ddd7a8cec28d3b35cc06a44b,121.296592,31.044127
d4034eb3cc87618bc036442b,121.330575,31.025411
161a0ed28548ec2e5cd4fe42,121.335477,31.040691
77fc651a833f0fd6b54f54cd,121.329971,31.024974
5c7bf9b283d85c0a621809a0,121.305442,31.034346
36c7760a2ae248cc72210b6a,121.331541,31.027025
825213e491843dce4d776e64,121.333845,31.026255
3507e3ddfb6cc219c036447b,121.331255,31.023154
ca5b3739f4aadfc374e5b6a3,121.331362,31.026836
a582773a39de322df32d837b,121.330045,31.023581
bfed3162d6da7623441a329a,121.307242,31.035368
6d9b3f156a1d56b5a8f7293f,121.317473,31.026546
90e745a11ed2316ec5effb8d,121.33137,31.026566
d41ac7af30f8684b601c67f0,121.31063,31.031866
ffd6d40394ac9ef116b54bbf,121.311725,31.038782
1062f6ba7175afc38bdb7315,121.326189,31.038298
1377bbc2de3ec8c9f8dc85ef,121.330298,31.02357
