lng,lat
-128.9116668701172,60.05143737792969
-128.232177734375,61.96993637084961
-130.60658264160156,60.08892822265625
-132.15640258789062,60.009925842285156
-133.30882263183594,60.48179244995117
-133.99014282226562,60.33988952636719
-133.29502868652344,60.48919677734375
-133.1925811767578,60.41690444946289
-133.45510864257812,60.48478698730469
-132.72320556640625,60.168853759765625
-132.45066833496094,61.98200988769531
-133.3553466796875,62.228416442871094
-135.14749145507812,60.772491455078125
-134.32594299316406,60.51585006713867
-134.9933319091797,60.63068771362305
-135.093994140625,60.948486328125
-135.2030029296875,60.809967041015625
-134.7044219970703,60.167747497558594
-134.87628173828125,60.59890365600586
-134.37635803222656,60.16484451293945
-135.4582061767578,60.85673522949219
-135.03858947753906,60.662261962890625
-134.27130126953125,60.31460189819336
-134.8456573486328,60.45140838623047
-135.99400329589844,60.80031204223633
-135.1605987548828,60.784114837646484
-134.90188598632812,60.52297592163086
-134.35191345214844,61.33908462524414
-134.9218292236328,61.88452911376953
-135.22613525390625,61.39093017578125
-135.48683166503906,63.91194534301758
-135.3022003173828,63.90979766845703
-135.89430236816406,63.593605041503906
-136.04257202148438,60.75123977661133
-137.03465270996094,60.117740631103516
-137.0060577392578,60.290279388427734
-137.057373046875,60.85881805419922
-137.0567626953125,60.37200927734375
-137.05335998535156,60.13246154785156
-136.4772186279297,60.78232192993164
-137.67254638671875,60.7960090637207
-137.5083770751953,60.75313949584961
-136.57240295410156,62.81832504272461
-136.28858947753906,62.088462829589844
-136.68130493164062,63.378028869628906
