uid,loc_lng,loc_lat
99a9daba0b608e1c3904b1d3,121.154616,30.794016
60de2bced850199514948e85,121.201246,30.795795
48f8e0106a5b5b099d82eabd,121.196896,30.795298
e6b3d851b1730095c4f50dcb,121.198838,30.803305
4be516784c21b68c5910939e,121.198468,30.806186
75c97233c8d9438ccc06a42f,121.200666,30.793999
f88ed2776cddb4ac260bd0d5,121.200531,30.793404
0031218f9e7b360630169b8e,121.198345,30.792395
dbf4d6eef55097296fa3cc6e,121.229933,30.792414
9d56deb11fe2c47e2e4733b5,121.237081,30.808212
d0dd15588b0fae63100daa91,121.224758,30.79482
c065c56123b9a13e3062128e,121.282126,30.810804
f8e4b455c298122ab8bd634a,121.28691,30.802379
9e1f91299cbfb4b0a2a934cb,121.288987,30.801239
c4facbcc41eedde8a204646d,121.29407,30.809778
48b53eb27575662c0289726d,121.294301,30.810141
41ddf12f623869d8d13ce3a5,121.291535,30.809227
8aa8ffd88c8e906ff32d8305,121.288841,30.802349
cc7f55d6d87d2bbe130daafa,121.290502,30.804299
28b1119b37b4a179d3ff232a,121.29336,30.811395
1fc17dcaca2820eb88b988fb,121.294859,30.810221
b4d483a58e5f3e0cc51e5119,121.293514,30.812982
e4a6a37c8c389a6c73455b4c,121.291193,30.812187
34059f97a473565571455b2e,121.293543,30.813022
1858beca5a23154614b54b03,121.294381,30.812026
ec16371a77d5dce9d81318ba,121.290658,30.810161
4946302dfa289b303be4a6ea,121.290382,30.810491
6913052394cb0575725e8016,121.29164,30.813157
c7d98f079bfb73d3d618b727,121.290381,30.810244
7ad8d14cbfee71d04151c0c7,121.295371,30.808336
7b6a76b7532b9a49a4c756e1,121.295513,30.809652
bf7e3de2722672bc3fe231a0,121.323933,30.803887
4b44fd3db5a96c842bd7ab47,121.30209,30.805351
46ab69a6facf95f32a02e1ef,121.305348,30.804543
2abf5b353fc7b85212882425,121.304136,30.807278
fe03eda70ccf4ff1d518b734,121.303204,30.805095
add5a1bae1965730128824ea,121.303378,30.806039
220061b6d5dbb205c3f1cf0f,121.303633,30.803659
924dc5dee1fbcc15d2f49ed3,121.368154,30.813217
f90739eb05f06eb1d12dd6fe,121.36438,30.809842
2fd2beabb25af32c7adbd22d,121.37294,30.815679
