uid,loc_lng,loc_lat
3848c119696e6a7e213bf28b,121.171115,30.793428
b9c1c95c59c0f2542dfaa7e4,121.156729,30.790216
41c7fced38c5e07749fc8d2b,121.171066,30.793452
7fa13a9502ca259cbb17e7a9,121.19509,30.795981
5ce2637d55be1550ae31e52c,121.206654,30.797234
22e11407b2fcc8cad4b74e88,121.204791,30.797155
e4edeab475fbf0e5a2046418,121.195959,30.792803
f19b1b30b8d414d93ce23118,121.193793,30.790806
b80fa6cf35056906ca09f03a,121.200047,30.803422
cde9e2c7833e9fb7e81e97c4,121.190148,30.806031
56a842d1423c04fd3ce23104,121.199644,30.796449
88fe8ca0cdc9d714badf8f57,121.196294,30.796075
d6a640eaddfd64f64c776e5c,121.205201,30.800642
96387002dd8b5effadcb66b4,121.20515,30.798193
93df0dc301f77c28882fb5c4,121.194185,30.795399
d44248bf42acb79ec056ac1b,121.1916,30.796535
06f25fd158dd8b3e2fb17eff,121.204744,30.799003
3daa992de8cda0449f09f710,121.206516,30.798691
2e6d8aba4a98411907026ff2,121.195129,30.796106
251374c9944ffa3ea11de92c,121.195618,30.794028
5bb98df6d1b9dcb917b54ba7,121.197223,30.795842
d290c1459da23b6a7069d3da,121.204774,30.801279
e6f239e8cf61f2aa2fe67bb2,121.191371,30.790418
a081b168cd24c7f2dbd8916a,121.195395,30.795185
eb6f9f6451654925c7f02507,121.204853,30.80007
3810c8796ddbf3889c09f7c4,121.191368,30.790416
14107d0cd526d95dd12dd67a,121.197232,30.793469
af1ae56ba1d7976c4307c1ab,121.205365,30.80035
b0d056f2eb978b7fcbc3dbe3,121.191573,30.797119
2527be1e6e5b68b24afc8d2c,121.205273,30.802379
c6dae77597397424b75f1e49,121.204638,30.804018
2ad32cc3525cf68e9d95de2c,121.20519,30.800915
7ef67946302258186849f342,121.191375,30.787422
176e509d0648ad386268587e,121.195688,30.792488
25842ebcc6680dd44c6d4627,121.205381,30.801034
87248d9618e855b22806ce2c,121.195069,30.788891
12a14b57107b27eb8605bf91,121.193158,30.785987
3baf6cf57e444f14f82d6192,121.195855,30.789692
59489018c0109cd3c51b757c,121.214067,30.798293
6c3ad011aa9194474207c1ab,121.212883,30.798916
9a473aab845c3edcb54f5407,121.214475,30.798388
5c196a88263b224609b93abf,121.194185,30.787994
4f1847213bf4d36259bbbc63,121.214208,30.798401
2a72df4580ea352a08ccdd4e,121.200025,30.80259
9fbfeef21cf22b46ede4a5c4,121.22801,30.794762
680fb70321df449d8bb9882c,121.224013,30.795162
78328d5645a0a3363310af3a,121.220278,30.797727
6df4175bf23ed7da882fb579,121.220847,30.795385
b8ebfdf9d5509c3a96f08cea,121.23179,30.795503
a7464694a2faa921047ce8df,121.252731,30.792323
90acb99c1f3490a197ec84a5,121.226237,30.795979
d5c3c2ef000b2472a20464bd,121.238481,30.784743
9aa8fc74b4ec6999aeb22a19,121.21655,30.798669
e1e9a241f14b0c35cf06a456,121.230602,30.795747
