uid,loc_lng,loc_lat
c684ce0d64da37a2d22dd60f,121.331323,30.805993
8cc29ce1a35bedf6f82d61ec,121.356226,30.814829
94b6719d0cc35504901fc9f0,121.396899,30.803057
31f0f9a77ebd215ffa42b241,121.476293,30.793075
bd596533d141a5ad931fc984,121.153875,30.849689
0c55a6c6fe64d67394ec8410,121.321037,30.842695
46a6c14f717c514802294fe5,121.437822,30.841117
dc0f0adccb69e85ff8221310,121.538248,30.830741
7b31bebc2383880deee4a520,121.53079,30.840865
181c29e9704d26d617c8f6e7,121.535659,30.827068
5fbe84007fdd5579a10464bd,121.524965,30.848197
3a32ed428198b6463a13fdb5,121.147741,30.875466
e55327b131209d01ae045743,121.147427,30.857643
779be95c4ce85b706ca3cc88,121.16622,30.872572
bd596533d141a5ad931fc984,121.153875,30.849689
92e0ce9ed4c14d2285420ed5,121.200775,30.878172
74fadc6ed6cc848aabf72910,121.200876,30.883156
f4179f85b1f66f6f774ff13f,121.201222,30.883133
8dcb78fae209292bbe48429d,121.190235,30.881377
1cd3e6efc5f71db04054d77f,121.201222,30.883133
5979858ccc2fc4c2db13182c,121.201592,30.883175
e9860cdaac63042cd12dd67c,121.200991,30.883598
b948658511a0885ec356ac0f,121.201334,30.883646
c817fa31c3c1774fb5147ff1,121.234652,30.872705
e71fda7ee6f1e70e2b3a9f7f,121.229823,30.873894
2331678d7e080f14d12dd6a2,121.234384,30.875975
96efce352743b20d1f5800fd,121.229033,30.87388
38c42aa4162fa510c16c141f,121.228604,30.875627
fd9a456b3345951a88f15d6a,121.226229,30.879688
2eb8056a8b5d514c28b97cb6,121.323978,30.881315
b4bd9147d3ee05dcd4851fe7,121.487253,30.871289
fb1d1436db77994d5d17c30b,121.490093,30.882644
b6b6c9f21150c51cfea7784c,121.499227,30.872587
ac0b39df64a7ef3b9ee3212c,121.506711,30.877295
128125585341ea9609a8d42d,121.505208,30.876889
108b1cea8fde22af3586f46b,121.547611,30.878607
170fed7632bddaf031f71d42,121.523272,30.852465
a7cda3656da4913ec6effb3c,121.566001,30.865169
29354af44344928f82a12e75,121.571354,30.866392
764672e5bb6723ac94ec8430,121.164817,30.897064
15b067791cae2d725e0d0236,121.143265,30.891682
4702846030db8eb2c16c145e,121.168331,30.892249
18f9bae45f266c932fb908c9,121.194438,30.897821
390369380db706e48f1a89d0,121.194557,30.904923
66ede927ddd5650aacee7a5d,121.194303,30.905733
d3b51b03fb5b00db2dfaa7c5,121.175634,30.900039
3fbd45310fb1009d6fa3cc97,121.197735,30.894034
154f30cb5e5952185bf6be7a,121.189994,30.895059
762d844b15616e59f119379e,121.181295,30.899063
f4537efafeeb89d39e82ea68,121.181005,30.90488
6d0891213d8a2e161ce999a9,121.180044,30.903127
46c044f119d92767e01103f1,121.209466,30.913071
0f07c65795d43aaa8733044e,121.208765,30.912855
1557662bb52b580bf4eafcb4,121.213227,30.902567
5fbbe76132d274899eec2b5d,121.194319,30.905675
29735ff5e0279139f4b916db,121.193526,30.905615
3195da780b118680f8f0cbb7,121.253705,30.89656
aff721154690b39f86420eca,121.318434,30.888995
c23283d9ef61e0791b11d516,121.319999,30.892929
1699d26c93d59446871541a3,121.403429,30.900411
96f8fb9970b318fe71455bc4,121.403393,30.90041
855d222ab148036bd4851f3c,121.4604,30.90642
a9acbccf43220b7b882fb526,121.444501,30.911482
5a1eefc56e5223f3a8f7296b,121.455223,30.915472
aee7d458d336d5358e7727a6,121.455484,30.915781
976a24cad3cc7a05f4eafcdf,121.455765,30.915585
cfb2d01209519e13ee74f82e,121.455112,30.915688
fea899c874a0d484c156ac8c,121.456039,30.915657
65f9c69db9eeeaf99e09f7d7,121.455905,30.91595
c7f47f310eb87d6bb320a8ef,121.455666,30.915836
741bf8b72221d98b2fb96d34,121.455246,30.915732
76e2c3998e24836abbbd63ec,121.456942,30.915603
c3b71f7594dd668cc4f0259f,121.456305,30.915731
97b0a3476a2a551ac27da2ac,121.4555,30.915539
86cfd2cfdee94aced813188a,121.455841,30.914642
f4b7809e864c743697ec846d,121.455575,30.91585
0f4e572a61375628ab175ab7,121.456178,30.91477
49a8898ca123daccd42ce2d0,121.456142,30.915402
e030bef2ada5a1f976e5b672,121.456049,30.916019
d8ac625dd30cee1d7069d391,121.456686,30.915561
dc7f4f68f5b889dac61b7504,121.456046,30.914702
e0193a471b5bc0857dc8764d,121.455078,30.915702
ee495d91d49fa57e87330450,121.455892,30.91499
fd96b8f8e44cb9714d5547ff,121.455362,30.915795
666c9b3c4bb858bb118824d3,121.456017,30.915002
449756cb1b122d0532f71d4f,121.455473,30.914843
584347497da93fc4c27da236,121.45662,30.915841
dafac132c8512859c61e5122,121.456817,30.915606
665d584c2bba4d949868b43a,121.456558,30.916158
f14fec79de4037a6ab0dd8cf,121.45564,30.915226
2ef1682d818356e13686f400,121.456421,30.915459
536ddcfd1c61a5f09f09f774,121.455301,30.915119
b84d1ceb017c3dfceedfca32,121.456174,30.915754
263a89a87bf8648109b93a3f,121.45516,30.915454
551f68b559684f19734b8705,121.456801,30.915899
0f9003475ab5a97ac42ba1a0,121.455732,30.915265
1c6f4435f922f846d0ff235d,121.456691,30.91585
f55864801dc7bd6da20464e4,121.456183,30.91603
00cfa026fd51c2b0e5e965f9,121.456681,30.91618
9b85dce1be28194926d2bb43,121.455599,30.914523
aeaa674104ac68292b201a06,121.4946,30.918239
d974bca5cd630563e215f96c,121.507413,30.894945
4fbc97ee08b1d183715e80f9,121.495281,30.91601
8b362195a40bbf4afda77898,121.496688,30.91789
5d896031673b8fc5aeb22a97,121.505875,30.895468
110f1e62ab38461581a12ebf,121.494167,30.917795
ca932da8cf7cc5edda2f2803,121.4952,30.918382
8413c0822226099ef5c59c09,121.49734,30.918254
80178c5ee71186a5735e80be,121.47923,30.913993
d75672dae61b4507c9291542,121.498781,30.917806
e27817e1bc3ecb712fb17ec6,121.58216,30.893242
5759cff831c120d479f79608,121.568761,30.89309
da6ce7c8d9b683f8d0ff2329,121.583286,30.89129
3d504cfc12ff9a6a276e984e,121.585389,30.89139
10821e19f92220f517b54b95,121.651475,30.912333
74867f1529fed8024354d783,121.756275,30.910333
9d14f3230aa6288e9ee32114,121.801091,30.912935
eb0ee6dccc9e7c349a005067,121.146597,30.94524
ffd6d4034b4bb58e17b54be8,121.295318,30.939999
ea4a3dc9bf0db22f4e5547f0,121.310987,30.947276
055372d80279bae67dc87636,121.325834,30.951574
88ef37182ad0854e250bd0cb,121.325789,30.952155
8968e7d5e7d3d952343a7164,121.45966,30.926788
fba10a91ec7eaaa5fa42b242,121.447443,30.931572
fc83745effc22cbfeb12e46c,121.447428,30.931573
e4cbb990752dd656f503b8fb,121.438508,30.929908
4c319421ef5a8e121df74db1,121.458062,30.947862
f2f7db4b7331e77e7f29bd51,121.437286,30.933073
089d1a5fe46893086140a9ea,121.44562,30.943515
69b0a2175f2cb512e8e582a9,121.459554,30.926696
34b34332c74f5b964202453a,121.45708,30.938998
695d46f2af543f052cb96d84,121.462734,30.929811
6ecbb20919960b8787330499,121.45417,30.927469
3280f31ba626ca5e43afe637,121.459738,30.926786
141d4d333adcbddb4e5547e0,121.464759,30.923322
4cedda28f383e6a622022041,121.448539,30.926068
09185c56baa1565ef119376b,121.461941,30.921445
644f4f591df63925102935b6,121.46676,30.926421
749ce895a8c959084bcc4ac0,121.454706,30.919845
27afddcb8a1f0d6fb04c493f,121.445515,30.943684
e75892d4e0aa067b0682c2af,121.491751,30.933616
9ebcd2ff297aa99b7adbd29a,121.49173,30.933638
05681878f0f76ea47069d3b7,121.493091,30.931434
4bb049d9bc587b399900507e,121.492653,30.931015
00b53d6e0248bc5158f6be20,121.492659,30.930517
ef0bdcde473d4638d518b722,121.497468,30.92474
b99c380d3ec471b9b64f5459,121.4987,30.925141
4a37d01a7e655d349c82eac1,121.493872,30.922537
cbb4aaf33332b17452e5c5d0,121.474889,30.938485
aeaa674104ac68292b201a06,121.4946,30.918239
08fc93dfd7bac2929b68b465,121.47265,30.93177
d5070ce28ddf728ffb2d6101,121.496358,30.918703
c3bcc8d59b7e457e2b201abc,121.49645,30.921008
1b7d0055317c6baff119373c,121.488651,30.921484
6f4a725706419cab6f3e1b40,121.49428,30.922334
8b362195a40bbf4afda77898,121.496688,30.91789
c7eca12b86cb9b4ae115f911,121.478507,30.924067
53cebd50d8726e602a02e10a,121.480887,30.922863
ac34c1144815842a1f3894f1,121.472662,30.931695
b2ee6bbc58066656c0364412,121.479264,30.9241
56b921c01d30b9d6e5e965c5,121.49767,30.924728
4120b751d773fb89bfa822db,121.493164,30.922776
110f1e62ab38461581a12ebf,121.494167,30.917795
08f8cd488aee935abda2400e,121.492914,30.922302
0d12a8293b38bd014151c0f7,121.496294,30.9204
ca932da8cf7cc5edda2f2803,121.4952,30.918382
696d806ae1753b4e940319bf,121.472625,30.931686
